year,avg_capital_b,score,price_open,price_close,price_change_ntd,price_change_pct,pretax_profit_b,aftertax_profit_b,cf_operating_b,cf_investing_b,cf_financing_b,cf_other_b,net_cashflow_b,fcf_b,cash_begin_b,cash_end_b,cf_pct,eps_twd
2026,,,1550,2310,+760,+49,,,,,,,,,,,,
2025,2593,91,1075,1550,+475,+44.2,20417,17179,22750,-11444,-4403,-500,6402,11306,21276,27679,156,66.26
2024,2593,91,593,1075,+482,+81.3,14058,11733,18262,-8648,-3463,472,6622,9613,14654,21276,144,45.25
2023,2593,89,448.5,593,+144.5,+32.2,9792,8385,12420,-9061,-2049,-83.4,1226,3358,13428,14654,136,32.34
2022,2593,89,615,448.5,-166.5,-27.1,11442,10165,16106,-11909,-2002,584,2778,4197,10650,13428,171,39.2
2021,2593,87,530,615,+85,+16,6631,5965,11122,-8364,1366,-75.8,4048,2758,6602,10650,150,23.01
2020,2593,89,331,530,+199,+60.1,5848,5179,8227,-5058,-886,-235,2048,3169,4554,6602,133,19.97
2019,2592,89,225.5,331,+105.5,+46.8,3898,3453,6151,-4588,-2696,-91.1,-1224,1563,5778,4554,104,13.32
2018,2593,94,229.5,225.5,-4,-1.7,3975,3511,5740,-3143,-2451,98.6,244,2597,5534,5778,169,13.54
2017,2593,91,181.5,229.5,+48,+26.4,3961,3431,5853,-3362,-2157,-213,121,2492,5413,5534,163,13.23
2016,2593,91,143,181.5,+38.5,+26.9,3860,3342,5398,-3954,-1578,-80.3,-214,1444,5627,5413,170,12.89
2015,2594,94,141,143,+2,+1.4,3504,3066,5299,-2172,-1167,82.6,2042,3126,3584,5626,250,11.82
2014,2592,91,105.5,141,+35.5,+33.6,3021,2639,4215,-2824,-323,90.6,1158,1391,2427,3585,210,10.18
2013,2592,89,97,105.5,+8.5,+8.8,2155,1881,3474,-2811,321,8.5,993,663,1434,2427,183,7.26
2012,2591,89,75.8,97,+21.2,+28,1817,1663,2850,-2693,-136,-21.2,-0.62,156,1435,1434,192,6.42
2011,2591,94,71,75.8,+4.8,+6.8,1451,1342,2476,-1825,-679,-16.2,-44.1,651,1479,1435,212,5.18
2010,2590,96,64.5,71,+6.5,+10.1,1703,1616,2295,-2021,-486,-21.4,-234,274,1713,1479,186,6.24
2009,2586,91,44.4,64.5,+20.1,+45.3,955,892,1600,-965,-855,-13.6,-233,635,1946,1713,202,3.45
2008,2589,94,62,44.4,-17.6,-28.4,1115,999,2215,-80.4,-1154,0,981,2135,966,1946,390,3.86
2007,2637,94,67.5,62,-5.5,-8.1,1216,1092,1838,-707,-1354,0,-223,1131,1173,950,377,4.14
2006,2576,96,62.5,67.5,+5,+8,1334,1270,2050,-1197,-638,0,215,853,963,1178,437,4.93
2005,2469,94,50.5,62.5,+12,+23.8,943,936,1572,-777,-580,0,216,796,749,965,448,3.79
2004,2325,89,63.5,50.5,-13,-20.5,920,923,1532,-1480,-322,0,-270,51.6,1013,743,240,3.97
2003,2028,79,42.6,63.5,+20.9,+49.1,512,473,1160,-537,-271,0,353,623,677,1030,381,2.33
2002,1896,68,87.5,42.6,-44.9,-51.3,272,216,985,-622,-63.5,0,300,363,378,678,247,1.14
2001,1745,62,78.5,87.5,+9,+11.5,108,145,758,-772,8.97,0,-5.17,-14.1,381,376,227,0.83
2000,1140,91,167,78.5,-88.5,-53,639,651,948,-1209,354,0,92,-262,296,388,200,5.71
1999,726,74,71,167,+96,+135.2,206,235,453,-660,395,0,188,-207,107,295,172,3.24
1998,604,72,112,71,-41,-36.6,127,153,320,-423,77.7,0,-24.8,-103,122,96.8,365,2.54
1997,408,83,56.5,112,+55.5,+98.2,153,180,246,-445,134,0,-65.2,-199,193,128,161,4.4
1996,265,94,85,56.5,-28.5,-33.5,190,194,293,-243,50.5,0,100,49.8,87.2,187,528,7.31
1995,144,91,157,85,-72,-45.9,143,151,177,-170,45.2,0,52.2,7.01,34.9,87.2,348,10.48
1994,,,96,157,+61,+63.5,,,,,,,,,,,,
