quarter_key,call_date,event_2330,alpha,beta_twii,n_est,TW_CAR_0_0,TW_CAR_m1p1,TW_CAR_0p1,TW_CAR_m1p3,TW_CAR_m1p5,TSM_CAR_m1p1,TSM_CAR_0_0,TSM_CAR_0p1,TSM_CAR_m1p3,TSM_CAR_m1p5
2011_Q1,2011-04-14,2011-04-15,0.0007393560131145376,0.8620678572877802,121,-0.0010493100735732303,-0.020000093091637312,-0.004318959031973673,-0.019484527480052638,-0.02049574564812511,-0.006895,0.003083,-0.0093,-0.021446,0.006904
2011_Q2,2011-07-14,2011-07-15,0.0007532590938608962,0.9197290269708656,121,-0.022214595446379326,-0.04273277689426432,-0.02193114958118674,-0.034286076276758795,-0.03644819606200372,-0.004317,-0.01463,-0.016322,-0.014637,-0.003175
2011_Q3,2011-10-18,2011-10-19,0.0017870105791660835,0.872670332449146,121,0.004594693166451649,0.000535082277285737,-0.0039405934873135125,-0.0017019687355522718,-0.010110231026669868,-0.007558,-0.004533,-0.00204,-0.027396,-0.021371
2011_Q4,2012-01-19,2012-01-30,0.002632415987212033,0.7984454440345596,121,0.004268192244798352,-0.0022032339410201288,-0.012726772266571366,-0.04350654396868704,-0.044537937316059525,0.017211,0.025416,0.000869,0.01652,0.033547
2012_Q1,2012-04-13,2012-04-16,0.001686921786516011,0.7020531336360958,121,0.003578288331419751,0.016687137016412598,0.002013077730472675,0.03364109026982647,0.025863037940786624,0.019564,0.024144,0.024574,0.019093,0.012377
2012_Q3,2012-10-18,2012-10-19,0.000973166820863247,1.2058306472151075,121,-0.007713876804723532,-0.0040743359762402285,-0.010947164571056659,-0.0034798746747897354,0.046990244417317244,0.00229,-0.00031,-0.00175,0.018384,0.028424
2012_Q4,2013-01-17,2013-01-18,0.0016524156661752954,1.0415511775762227,121,0.0046082372284064615,0.004864814013770707,-0.005825219653927507,0.003928989503396393,-0.009626473978783981,0.000666,0.018008,0.007481,-0.002417,-0.040185
2013_Q1,2013-04-18,2013-04-19,0.0007527979231005461,1.0757641742562674,121,0.0460595219063122,0.059405329120976985,0.05871751133480786,0.027621999458018357,0.0497906118622695,0.103854,0.05783,0.09603,0.059569,0.077031
2013_Q2,2013-07-18,2013-07-19,0.0007979086554974684,1.4793427578287202,121,-0.04601038737204658,-0.08842761537623822,-0.06699580085657274,-0.05570118769895941,-0.04393980091715723,-0.116436,-0.094528,-0.115105,-0.10029,-0.071947
2013_Q3,2013-10-17,2013-10-18,-0.0001420867695342877,1.646768956275528,121,0.015101188335085353,0.02068604326442161,0.01950987721308141,0.03514955493797927,0.008341587253302378,0.025916,0.014237,0.031226,0.024828,0.000895
2013_Q4,2014-01-16,2014-01-17,-0.0011193719774270584,1.7932190135059387,121,0.009147012940327314,0.023108099980808216,0.004934355956509865,0.024642944956867138,0.03714198229093062,0.026299,0.035483,0.01828,0.036921,0.035863
2014_Q1,2014-04-17,2014-04-18,0.0001440597137014763,1.8004412087559982,121,0.02032692370318591,-0.0014185462217609236,0.011093997251639051,-0.006983635221224147,0.008855933161688359,-0.009501,0.026853,0.016159,-0.019234,-0.039783
2014_Q2,2014-07-17,2014-07-18,0.0008512144436551564,1.6098645659636313,121,-0.007639184698800898,-0.049185702856409344,-0.015340210614049611,-0.05274763508158918,-0.056298357515831676,-0.096869,-0.02783,-0.023681,-0.091091,-0.087704
2014_Q3,2014-10-16,2014-10-17,0.00021614970960880757,1.433333072577067,121,0.03630163165612571,0.03442546735461984,0.031028367083709228,0.04386364560064494,0.032990930039335356,0.025098,0.033321,0.021859,0.028558,0.020142
