quarter_key,year,quarter,mgmt_word_count,pricing_intent,demand_strength,supply_tightness,hedging_language,tech_positioning,pricing_intent_rate,demand_strength_rate,supply_tightness_rate,hedging_language_rate,tech_positioning_rate,pricing_intent_rate_raw,demand_strength_rate_raw,supply_tightness_rate_raw,hedging_language_rate_raw,tech_positioning_rate_raw,pricing_intent_neg_count,demand_strength_neg_count,supply_tightness_neg_count,hedging_language_neg_count,tech_positioning_neg_count,tfidf_cosine_similarity,language_drift,topic_0_weight,topic_1_weight,topic_2_weight,topic_3_weight,topic_4_weight,topic_5_weight,topic_6_weight,topic_7_weight,dominant_topic,call_date,event_date,alpha,beta,sigma,n_est,status,CAR_0_0,CAR_m1p1,CAR_0p1,CAR_m1p3,CAR_m1p5,SAR_0,AR_0,lagged_vol
2011_Q1,2011,Q1,6460,0,0,1,0,7,0.0,0.0,0.1548,0.0,1.0836,0.0,0.0,0.1548,0.0,1.0836,0,0,0,0,0,,,0.0001,0.0001,0.0001,0.0001,0.9994,0.0001,0.0001,0.0001,4,2011-04-14,2011-04-14,0.000135,1.1303,0.012457,121,ok,0.003083,-0.006895,-0.0093,-0.021446,0.006904,0.2475,0.003083,0.015116
2011_Q2,2011,Q2,5127,0,1,0,4,0,0.0,0.195,0.0,0.7802,0.0,0.0,0.195,0.0,0.7802,0.0,0,0,0,0,0,0.8715,0.1285,0.0001,0.0001,0.0001,0.0001,0.9994,0.0001,0.0001,0.0001,4,2011-07-14,2011-07-14,8.3e-05,1.2699,0.013139,121,ok,-0.01463,-0.004317,-0.016322,-0.014637,-0.003175,-1.1135,-0.01463,0.016604
2011_Q3,2011,Q3,5845,0,1,0,6,0,0.0,0.1711,0.0,1.0265,0.0,0.0,0.1711,0.0,1.0265,0.0,0,0,0,0,0,0.8736,0.1264,0.0001,0.0001,0.0001,0.0001,0.9995,0.0001,0.0001,0.0001,4,2011-10-18,2011-10-18,0.001332,1.0157,0.013819,121,ok,-0.004533,-0.007558,-0.00204,-0.027396,-0.021371,-0.328,-0.004533,0.021587
2011_Q4,2011,Q4,6511,0,3,0,1,3,0.0,0.4608,0.0,0.1536,0.4608,0.0,0.4608,0.0,0.1536,0.4608,0,0,0,0,0,0.7035,0.2965,0.0001,0.0001,0.0001,0.0001,0.9995,0.0001,0.0001,0.0001,4,2012-01-19,2012-01-19,0.000681,0.9466,0.012761,121,ok,0.025416,0.017211,0.000869,0.01652,0.033547,1.9917,0.025416,0.022185
2012_Q1,2012,Q1,5969,0,6,0,1,2,0.0,1.0052,0.0,0.1675,0.3351,0.0,1.0052,0.0,0.1675,0.3351,0,0,0,0,0,0.8939,0.1061,0.0001,0.0001,0.0001,0.0001,0.9996,0.0001,0.0001,0.0001,4,2012-04-13,2012-04-13,0.00025,1.0371,0.011884,121,ok,0.024144,0.019564,0.024574,0.019093,0.012377,2.0315,0.024144,0.017317
2012_Q3,2012,Q3,6569,0,4,1,2,10,0.0,0.6089,0.1522,0.3045,1.5223,0.0,0.6089,0.1522,0.3045,1.5223,0,0,0,0,0,0.8958,0.1042,0.0001,0.0001,0.0001,0.0001,0.9996,0.0001,0.0001,0.0001,4,2012-10-18,2012-10-18,0.000224,1.2005,0.014017,121,ok,-0.00031,0.00229,-0.00175,0.018384,0.028424,-0.0221,-0.00031,0.017398
2012_Q4,2012,Q4,8947,0,5,0,4,2,0.0,0.5588,0.0,0.4471,0.2235,0.0,0.5588,0.0,0.5588,0.2235,0,0,0,1,0,0.8432,0.1568,0.0,0.0,0.0,0.0,0.9997,0.0,0.0,0.0,4,2013-01-17,2013-01-17,0.00191,0.9172,0.012528,121,ok,0.018008,0.000666,0.007481,-0.002417,-0.040185,1.4374,0.018008,0.014414
2013_Q1,2013,Q1,6677,0,2,0,0,2,0.0,0.2995,0.0,0.0,0.2995,0.0,0.2995,0.0,0.0,0.2995,0,0,0,0,0,0.901,0.099,0.0001,0.0001,0.0001,0.0001,0.9996,0.0001,0.0001,0.0001,4,2013-04-18,2013-04-18,-0.000275,1.1518,0.011144,121,ok,0.05783,0.103854,0.09603,0.059569,0.077031,5.1892,0.05783,0.013979
2013_Q2,2013,Q2,8705,0,3,4,1,7,0.0,0.3446,0.4595,0.1149,0.8041,0.0,0.3446,0.6893,0.1149,0.8041,0,0,2,0,0,0.9076,0.0924,0.0,0.0,0.0,0.0,0.9997,0.0,0.0,0.0,4,2013-07-18,2013-07-18,-0.000425,1.107,0.012807,121,ok,-0.094528,-0.116436,-0.115105,-0.10029,-0.071947,-7.3811,-0.094528,0.015252
2013_Q3,2013,Q3,8601,0,1,0,3,6,0.0,0.1163,0.0,0.3488,0.6976,0.0,0.1163,0.0,0.3488,0.6976,0,0,0,0,0,0.901,0.099,0.0,0.0,0.0,0.0,0.9997,0.0,0.0,0.0,4,2013-10-17,2013-10-17,6.8e-05,0.8883,0.01619,121,ok,0.014237,0.025916,0.031226,0.024828,0.000895,0.8794,0.014237,0.017433
2013_Q4,2013,Q4,8423,0,5,0,0,3,0.0,0.5936,0.0,0.0,0.3562,0.0,0.5936,0.0,0.0,0.4749,0,0,0,0,1,0.7704,0.2296,0.0,0.0,0.0,0.0,0.9998,0.0,0.0,0.0,4,2014-01-16,2014-01-16,-0.001064,0.6311,0.014053,121,ok,0.035483,0.026299,0.01828,0.036921,0.035863,2.5249,0.035483,0.014518
2014_Q1,2014,Q1,7737,0,3,0,1,1,0.0,0.3877,0.0,0.1292,0.1292,0.0,0.3877,0.0,0.1292,0.1292,0,0,0,0,0,0.8693,0.1307,0.0,0.0,0.0,0.0,0.9998,0.0,0.0,0.0,4,2014-04-17,2014-04-17,0.000409,0.7348,0.01203,121,ok,0.026853,-0.009501,0.016159,-0.019234,-0.039783,2.2321,0.026853,0.012999
2014_Q2,2014,Q2,8355,0,2,1,4,2,0.0,0.2394,0.1197,0.4788,0.2394,0.0,0.2394,0.2394,0.4788,0.2394,0,0,1,0,0,0.8609,0.1391,0.0,0.0,0.0,0.0,0.9998,0.0,0.0,0.0,4,2014-07-17,2014-07-17,0.001778,0.7765,0.012113,121,ok,-0.02783,-0.096869,-0.023681,-0.091091,-0.087704,-2.2974,-0.02783,0.01313
2014_Q3,2014,Q3,7525,0,3,1,5,5,0.0,0.3987,0.1329,0.6645,0.6645,0.0,0.3987,0.1329,0.7973,0.6645,0,0,0,1,0,0.917,0.083,0.0,0.0,0.0,0.0,0.9998,0.0,0.0,0.0,4,2014-10-16,2014-10-16,-9.5e-05,0.9785,0.013073,121,ok,0.033321,0.025098,0.021859,0.028558,0.020142,2.5489,0.033321,0.014063
2014_Q4,2014,Q4,8556,0,4,1,4,5,0.0,0.4675,0.1169,0.4675,0.5844,0.0,0.4675,0.1169,0.4675,0.5844,0,0,0,0,0,0.8135,0.1865,0.0,0.0,0.0,0.0,0.9998,0.0,0.0,0.0,4,2015-01-15,2015-01-15,-0.000364,0.935,0.013758,121,ok,0.095823,0.07774,0.071256,0.098632,0.123933,6.965,0.095823,0.015444
2015_Q1,2015,Q1,6893,0,2,0,2,0,0.0,0.2901,0.0,0.2901,0.0,0.0,0.2901,0.0,0.2901,0.0,0,0,0,0,0,0.8869,0.1131,0.0,0.0,0.0,0.0,0.9998,0.0,0.0,0.0,4,2015-04-16,2015-04-16,0.000762,0.7488,0.016615,121,ok,-0.012033,0.005073,-0.005042,0.002331,0.0364,-0.7242,-0.012033,0.017783
2015_Q2,2015,Q2,9195,0,0,2,4,3,0.0,0.0,0.2175,0.435,0.3263,0.0,0.0,0.2175,0.435,0.5438,0,0,0,0,2,0.9147,0.0853,0.0,0.0,0.0,0.0,0.9998,0.0,0.0,0.0,4,2015-07-16,2015-07-16,0.000616,0.7815,0.015631,121,ok,0.000648,0.001685,0.012568,-0.003382,-0.023609,0.0415,0.000648,0.016614
2015_Q3,2015,Q3,7659,0,1,1,9,6,0.0,0.1306,0.1306,1.1751,0.7834,0.0,0.1306,0.1306,1.1751,0.7834,0,0,0,0,0,0.8987,0.1013,0.0,0.0,0.0,0.0,0.9998,0.0,0.0,0.0,4,2015-10-15,2015-10-15,-5.1e-05,0.9419,0.011293,121,ok,-0.03187,-0.003736,-0.026535,0.003864,0.002914,-2.8222,-0.03187,0.015016
2015_Q4,2015,Q4,9212,0,2,0,1,3,0.0,0.2171,0.0,0.1086,0.3257,0.0,0.2171,0.0,0.1086,0.3257,0,0,0,0,0,0.8331,0.1669,0.0,0.0,0.0,0.0,0.9998,0.0,0.0,0.0,4,2016-01-14,2016-01-14,0.000193,0.841,0.012135,121,ok,0.051431,0.044062,0.036293,0.053558,0.070718,4.2382,0.051431,0.015516
2016_Q1,2016,Q1,7716,0,8,0,5,6,0.0,1.0368,0.0,0.648,0.7776,0.0,1.0368,0.0,0.648,0.7776,0,0,0,0,0,0.8706,0.1294,0.003,0.0,0.0,0.0,0.9968,0.0,0.0,0.0,4,2016-04-14,2016-04-14,0.001428,0.9491,0.012717,121,ok,-0.034717,-0.016321,-0.028772,-0.040601,-0.039254,-2.73,-0.034717,0.016084
