quarter_key,year,quarter,mgmt_word_count,pricing_intent,demand_strength,supply_tightness,hedging_language,tech_positioning,pricing_intent_rate,demand_strength_rate,supply_tightness_rate,hedging_language_rate,tech_positioning_rate,pricing_intent_rate_raw,demand_strength_rate_raw,supply_tightness_rate_raw,hedging_language_rate_raw,tech_positioning_rate_raw,pricing_intent_neg_count,demand_strength_neg_count,supply_tightness_neg_count,hedging_language_neg_count,tech_positioning_neg_count,tfidf_cosine_similarity,language_drift,topic_0_weight,topic_1_weight,topic_2_weight,topic_3_weight,topic_4_weight,topic_5_weight,topic_6_weight,topic_7_weight,dominant_topic,call_date
2011_Q1,2011,Q1,6460,0,0,1,0,7,0.0,0.0,0.1548,0.0,1.0836,0.0,0.0,0.1548,0.0,1.0836,0,0,0,0,0,,,0.0001,0.0001,0.0001,0.0001,0.9994,0.0001,0.0001,0.0001,4,2011-04-14
2011_Q2,2011,Q2,5127,0,1,0,4,0,0.0,0.195,0.0,0.7802,0.0,0.0,0.195,0.0,0.7802,0.0,0,0,0,0,0,0.8715,0.1285,0.0001,0.0001,0.0001,0.0001,0.9994,0.0001,0.0001,0.0001,4,2011-07-14
2011_Q3,2011,Q3,5845,0,1,0,6,0,0.0,0.1711,0.0,1.0265,0.0,0.0,0.1711,0.0,1.0265,0.0,0,0,0,0,0,0.8736,0.1264,0.0001,0.0001,0.0001,0.0001,0.9995,0.0001,0.0001,0.0001,4,2011-10-18
2011_Q4,2011,Q4,6511,0,3,0,1,3,0.0,0.4608,0.0,0.1536,0.4608,0.0,0.4608,0.0,0.1536,0.4608,0,0,0,0,0,0.7035,0.2965,0.0001,0.0001,0.0001,0.0001,0.9995,0.0001,0.0001,0.0001,4,2012-01-19
2012_Q1,2012,Q1,5969,0,6,0,1,2,0.0,1.0052,0.0,0.1675,0.3351,0.0,1.0052,0.0,0.1675,0.3351,0,0,0,0,0,0.8939,0.1061,0.0001,0.0001,0.0001,0.0001,0.9996,0.0001,0.0001,0.0001,4,2012-04-13
2012_Q3,2012,Q3,6569,0,4,1,2,10,0.0,0.6089,0.1522,0.3045,1.5223,0.0,0.6089,0.1522,0.3045,1.5223,0,0,0,0,0,0.8958,0.1042,0.0001,0.0001,0.0001,0.0001,0.9996,0.0001,0.0001,0.0001,4,2012-10-18
2012_Q4,2012,Q4,8947,0,5,0,4,2,0.0,0.5588,0.0,0.4471,0.2235,0.0,0.5588,0.0,0.5588,0.2235,0,0,0,1,0,0.8432,0.1568,0.0,0.0,0.0,0.0,0.9997,0.0,0.0,0.0,4,2013-01-17
2013_Q1,2013,Q1,6677,0,2,0,0,2,0.0,0.2995,0.0,0.0,0.2995,0.0,0.2995,0.0,0.0,0.2995,0,0,0,0,0,0.901,0.099,0.0001,0.0001,0.0001,0.0001,0.9996,0.0001,0.0001,0.0001,4,2013-04-18
2013_Q2,2013,Q2,8705,0,3,4,1,7,0.0,0.3446,0.4595,0.1149,0.8041,0.0,0.3446,0.6893,0.1149,0.8041,0,0,2,0,0,0.9076,0.0924,0.0,0.0,0.0,0.0,0.9997,0.0,0.0,0.0,4,2013-07-18
2013_Q3,2013,Q3,8601,0,1,0,3,6,0.0,0.1163,0.0,0.3488,0.6976,0.0,0.1163,0.0,0.3488,0.6976,0,0,0,0,0,0.901,0.099,0.0,0.0,0.0,0.0,0.9997,0.0,0.0,0.0,4,2013-10-17
2013_Q4,2013,Q4,8423,0,5,0,0,3,0.0,0.5936,0.0,0.0,0.3562,0.0,0.5936,0.0,0.0,0.4749,0,0,0,0,1,0.7704,0.2296,0.0,0.0,0.0,0.0,0.9998,0.0,0.0,0.0,4,2014-01-16
