quarter_key,year,quarter,word_count,call_date,gross_margin,operating_margin,eps_twd,roe,revenue_usd_b,guide_gm_low,guide_gm_high,capex_quarter_usd_b,capex_year_low_usd_b,capex_year_high_usd_b,plat_hpc_pct,plat_smartphone_pct,plat_iot_pct,plat_automotive_pct,plat_dce_pct,node_7nm_pct,node_10nm_pct,node_16nm_pct,employee_mentions,talent_mentions,training_mentions,workforce_mentions,safety_mentions,culture_mentions,mentions_n7,mentions_n5,mentions_n3,mentions_n2,mentions_a16,mentions_a14,mentions_arizona,mentions_japan,mentions_germany,mentions_ai,mentions_5g,guide_om_low,guide_om_high,node_advanced_pct,node_5nm_pct,guide_rev_low_usd_b,guide_rev_high_usd_b,tax_rate,rd_pct,node_3nm_pct
2020_Q1,2020,Q1,13988,2020-04-16,51.8,41.4,4.51,28.4,10.3,50.0,52.0,6.4,15.0,16.0,30.0,49.0,9.0,4.0,5.0,35.0,0.5,19.0,8,2,0,0,1,0,13,13,4,0,0,0,0,0,0,1,29,,,,,,,,,
2020_Q2,2020,Q2,13647,,53.0,42.2,4.66,28.5,10.4,,,4.2,,,33.0,47.0,8.0,4.0,5.0,,,18.0,1,2,0,0,1,0,6,26,35,0,0,0,5,0,0,0,41,39.0,41.0,54.0,,,,,,
2020_Q3,2020,Q3,13277,,53.4,42.1,,31.3,12.1,,,3.4,,,37.0,46.0,9.0,2.0,3.0,,,35.0,1,0,0,0,1,1,18,40,8,0,0,0,0,0,0,0,23,40.5,42.5,61.0,8.0,,,,,
2020_Q4,2020,Q4,15464,2021-01-14,54.0,43.5,5.51,31.4,,50.5,52.5,3.2,25.0,28.0,31.0,51.0,7.0,3.0,48.0,33.0,,29.0,0,0,0,0,0,0,3,10,19,0,0,0,1,0,0,2,14,39.5,41.5,62.0,20.0,,,,,
2021_Q1,2021,Q1,15432,2021-04-15,52.4,38.5,5.39,29.5,12.9,49.5,51.5,8.8,,,35.0,45.0,9.0,4.0,4.0,35.0,,,1,5,1,0,0,0,1,19,6,0,0,0,8,1,0,1,3,38.5,40.5,49.0,14.0,12.9,13.2,,,
2021_Q2,2021,Q2,13491,2021-07-15,50.0,39.1,5.18,27.3,,49.5,51.5,5.97,,,39.0,42.0,8.0,4.0,4.0,31.0,,,1,11,1,0,0,1,0,16,14,0,0,0,11,15,0,0,2,38.5,40.5,49.0,18.0,14.6,14.9,,,
2021_Q3,2021,Q3,12338,2021-10-14,51.3,41.2,6.03,30.7,14.9,51.0,53.0,6.77,,,37.0,44.0,9.0,4.0,3.0,34.0,,,0,1,0,0,0,2,2,4,32,1,0,0,0,13,0,0,12,39.0,41.0,52.0,18.0,15.4,15.7,,,
2021_Q4,2021,Q4,14499,2022-01-13,52.7,41.7,6.41,31.3,,53.0,55.0,8.46,40.0,44.0,37.0,44.0,9.0,4.0,3.0,27.0,,,1,9,0,0,0,0,2,23,38,0,0,0,1,10,0,2,17,42.0,44.0,50.0,23.0,16.6,17.2,10.0,,
2022_Q1,2022,Q1,12205,2022-04-14,55.6,45.6,7.82,36.2,17.6,56.0,58.0,9.38,40.0,44.0,41.0,40.0,8.0,5.0,3.0,30.0,,,0,0,0,0,0,0,5,7,38,18,0,0,1,3,0,0,4,45.0,47.0,50.0,20.0,17.6,18.2,,,
2022_Q2,2022,Q2,13544,2022-07-14,59.1,49.1,9.14,39.4,18.2,57.5,59.5,7.34,,,43.0,38.0,8.0,5.0,3.0,30.0,,,0,0,0,0,0,0,0,2,14,19,0,0,1,4,0,1,5,47.0,49.0,51.0,21.0,19.8,20.6,10.0,,
2022_Q3,2022,Q3,12068,2022-10-13,60.4,50.6,10.83,42.9,,59.5,61.5,8.75,,,39.0,41.0,10.0,5.0,2.0,26.0,,,0,0,0,0,0,1,22,12,23,6,0,0,4,2,0,1,0,49.0,51.0,54.0,28.0,19.9,20.7,,,
